commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v3_6-0608174707,1,1,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,57,1,29,28,281315,3024525,9700.51724137931,108018.75,94.62580689655171,94.04467857142858,5480.6094,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,2,1,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,108,1,54,54,5408093,512965,100149.87037037036,9499.351851851852,96.9344259259259,95.0025092592593,10427.0529,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,3,2,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,61,1,31,30,324574,3692443,10470.129032258064,123081.43333333333,95.75488709677418,97.10785666666668,5924.4091,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,4,2,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,90,1,45,45,4865450,554745,108121.11111111111,12327.666666666666,96.17097777777776,100.85893777777777,8907.0947,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,5,3,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,59,1,30,29,290177,2421466,9672.566666666668,83498.8275862069,96.35010000000001,97.68752068965517,5764.3906,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,6,3,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,60,1,30,30,3209989,288770,106999.63333333333,9625.666666666666,97.45706999999997,98.89579999999998,5937.1032,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,7,4,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,71,1,36,35,397242,4301216,11034.5,122891.88571428572,99.48607222222225,100.30584571428571,7130.6903,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,8,4,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,82,1,41,41,5218464,540820,127279.60975609756,13190.731707317073,95.86817804878048,99.94546341463416,8067.7445,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,9,5,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,27,1,14,13,125885,1018595,8991.785714285714,78353.46153846153,87.33055,100.13293076923075,2534.7213,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,10,5,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,146,1,73,73,8590633,995522,117679.90410958904,13637.287671232876,97.81158904109587,102.45462876712327,14683.814,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,11,6,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,71,1,36,35,337380,3909862,9371.666666666666,111710.34285714285,97.66498888888891,100.3462942857143,7066.0664,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,12,6,1,false,stockfish-1350,V3_6Engine,1-0,checkmate,125,0,63,62,7869012,746941,124904.95238095238,12047.435483870968,97.53060634920635,99.4429629032258,12385.5142,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,13,7,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,69,1,35,34,414477,4436329,11842.2,130480.26470588235,97.48255714285713,100.26384705882354,6856.0503,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,14,7,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,52,1,26,26,2836112,222456,109081.23076923077,8556,100.72144615384614,98.35803076923081,5207.6061,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,15,8,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,75,1,38,37,384798,4192250,10126.263157894737,113304.05405405405,96.75331315789478,99.03816486486484,7376.9151,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,16,8,1,false,stockfish-1350,V3_6Engine,1-0,checkmate,43,0,22,21,2187118,192453,99414.45454545454,9164.42857142857,100.38436363636362,97.48342857142856,4278.5972,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,17,9,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,29,1,15,14,128065,1487219,8537.666666666666,106229.92857142857,88.43726666666667,100.33668571428571,2746.8185,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,18,9,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,78,1,39,39,4705529,436283,120654.58974358975,11186.74358974359,97.9385923076923,90.07413076923076,7372.7875,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,19,10,1,true,V3_6Engine,stockfish-1350,1-0,checkmate,95,1,48,47,511707,4882386,10660.5625,103880.55319148937,94.02449791666666,98.33304468085103,9180.0025,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,20,10,1,false,stockfish-1350,V3_6Engine,1/2-1/2,claimable_draw,74,0.5,37,37,3058958,351898,82674.54054054055,9510.756756756757,100.75764054054056,104.50829999999999,7642.1338,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,21,11,1,true,V3_6Engine,stockfish-1350,0-1,checkmate,188,0,94,94,1158632,13609577,12325.872340425532,144782.7340425532,100.80372127659572,98.59953829787233,18846.8235,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_6-0608174707,22,11,1,false,stockfish-1350,V3_6Engine,0-1,checkmate,42,1,21,21,2045377,211778,97398.90476190476,10084.666666666666,92.08660952380956,98.50045238095237,4029.8214,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
