commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v3_5-0608170946,1,1,1,true,V3_5Engine,stockfish-1350,1-0,checkmate,97,1,49,48,543169,4484095,11085.081632653062,93418.64583333333,101.83222244897959,98.66323749999998,9836.8609,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,2,1,1,false,stockfish-1350,V3_5Engine,0-1,checkmate,90,1,45,45,4102702,523328,91171.15555555555,11629.511111111111,100.54620888888887,98.24096444444443,8983.4922,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,3,2,1,true,V3_5Engine,stockfish-1350,1-0,checkmate,47,1,24,23,240827,2289845,10034.458333333334,99558.47826086957,95.34764999999999,96.89308260869564,4542.572,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,4,2,1,false,stockfish-1350,V3_5Engine,0-1,checkmate,106,1,53,53,5375660,734044,101427.54716981133,13849.88679245283,95.34114339622639,103.1236320754717,10566.1319,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,5,3,1,true,V3_5Engine,stockfish-1350,1-0,checkmate,49,1,25,24,273727,2572589,10949.08,107191.20833333333,90.975068,92.66973749999995,4521.1561,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,6,3,1,false,stockfish-1350,V3_5Engine,1-0,checkmate,49,0,25,24,2264432,265979,90577.28,11082.458333333334,100.65927600000002,99.66370416666669,4932.3416,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,7,4,1,true,V3_5Engine,stockfish-1350,1-0,checkmate,53,1,27,26,260840,2557051,9660.74074074074,98348.11538461539,95.99233703703703,100.14883461538459,5218.2108,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,8,4,1,false,stockfish-1350,V3_5Engine,0-1,checkmate,50,1,25,25,2952262,317481,118090.48,12699.24,96.42918799999998,99.10309600000004,4909.4597,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,9,5,1,true,V3_5Engine,stockfish-1350,0-1,checkmate,88,0,44,44,539318,4350346,12257.227272727272,98871.5,98.38257045454544,91.32218636363638,8377.8634,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_5-0608170946,10,5,1,false,stockfish-1350,V3_5Engine,0-1,checkmate,40,1,20,20,1860066,213899,93003.3,10694.95,100.51960500000001,97.71998500000001,3983.1718,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
