commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
db423ca,1,1,1,true,V2_0Engine,V1_6Engine,1/2-1/2,claimable_draw,176,0.5,88,88,79230,77287,900.3409090909091,878.2613636363636,302.0223443181818,283.29651022727273,51582.4766,,,rn2kb1r/pp2pppp/1qp5/3n1b2/3P4/1QN2N2/PP2PPPP/R1B1KB1R w KQkq - 0 1
db423ca,2,1,1,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,86336,83870,863.36,838.7,278.84747500000014,282.60689800000006,56209.8482,,,rn2kb1r/pp2pppp/1qp5/3n1b2/3P4/1QN2N2/PP2PPPP/R1B1KB1R w KQkq - 0 1
db423ca,3,2,2,true,V2_0Engine,V1_6Engine,1/2-1/2,claimable_draw,55,0.5,28,27,23140,17988,826.4285714285714,666.2222222222222,323.33222857142863,261.9952296296297,16149.2768,,,rnbq1rk1/ppp1ppbp/5np1/3p2B1/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQ - 0 1
db423ca,4,2,2,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,72716,81813,727.16,818.13,279.58305600000017,314.992478,59545.6874,,,rnbq1rk1/ppp1ppbp/5np1/3p2B1/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQ - 0 1
db423ca,5,3,3,true,V2_0Engine,V1_6Engine,1-0,checkmate,187,1,94,93,90856,92572,966.5531914893617,995.3978494623656,291.77810531914895,290.6294935483872,54527.5708,,,rnbq1rk1/ppp1bppp/5n2/3p4/8/5NP1/PP1PPPBP/RNBQ1RK1 w - - 0 1
db423ca,6,3,3,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,74268,72795,742.68,727.95,263.85807200000005,270.6381840000001,53526.1552,,,rnbq1rk1/ppp1bppp/5n2/3p4/8/5NP1/PP1PPPBP/RNBQ1RK1 w - - 0 1
db423ca,7,4,4,true,V2_0Engine,V1_6Engine,1/2-1/2,max_plies,200,0.5,100,100,71683,70004,716.83,700.04,303.4316610000001,269.319707,57357.7937,,,r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/1P2PN2/PB3PPP/RN1QKB1R b KQkq - 0 1
db423ca,8,4,4,false,V1_6Engine,V2_0Engine,0-1,checkmate,35,1,17,18,12272,13126,721.8823529411765,729.2222222222222,275.1502823529412,280.39944999999994,9737.7993,,,r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/1P2PN2/PB3PPP/RN1QKB1R b KQkq - 0 1
db423ca,9,5,5,true,V2_0Engine,V1_6Engine,1/2-1/2,claimable_draw,126,0.5,63,63,69643,70195,1105.4444444444443,1114.2063492063492,293.4137682539683,268.2435126984126,35421.6319,,,r1bqr1k1/pppnppbp/3p1np1/8/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ - 0 1
db423ca,10,5,5,false,V1_6Engine,V2_0Engine,0-1,checkmate,18,1,9,9,6146,6813,682.8888888888889,757,265.1474666666667,285.8471,4967.6657,,,r1bqr1k1/pppnppbp/3p1np1/8/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ - 0 1
db423ca,11,6,6,true,V2_0Engine,V1_6Engine,0-1,checkmate,74,0,37,37,25418,25376,686.972972972973,685.8378378378378,296.60052162162157,264.42366216216215,20785.3431,,,rnbqk1nr/ppppp1bp/6p1/5p2/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 1
db423ca,12,6,6,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,104784,92045,1047.84,920.45,306.92950900000005,276.3566439999999,58401.4113,,,rnbqk1nr/ppppp1bp/6p1/5p2/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 1
db423ca,13,7,7,true,V2_0Engine,V1_6Engine,1-0,checkmate,127,1,64,63,60429,66479,944.203125,1055.2222222222222,275.31601875,309.81899047619044,37188.2685,,,rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 1
db423ca,14,7,7,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,73405,80349,734.05,803.49,270.33886300000006,308.798977,57988.5232,,,rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 1
db423ca,15,8,8,true,V2_0Engine,V1_6Engine,1/2-1/2,draw,153,0.5,77,76,68043,61907,883.6753246753246,814.5657894736842,314.38439090909094,281.34956842105254,45648.6454,,,r1bqk2r/pp1n1ppp/2n1p3/2bpP3/5P2/2N2N2/PPP3PP/R1BQKB1R w KQkq - 0 1
db423ca,16,8,8,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,82637,75233,826.37,752.33,283.89276700000005,272.628358,55729.7145,,,r1bqk2r/pp1n1ppp/2n1p3/2bpP3/5P2/2N2N2/PPP3PP/R1BQKB1R w KQkq - 0 1
db423ca,17,9,9,true,V2_0Engine,V1_6Engine,1-0,checkmate,196,1,98,98,92326,100912,942.1020408163265,1029.7142857142858,260.3568316326531,297.5667102040816,54741.1999,,,rnbqkbnr/ppp1pppp/3p4/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 1
db423ca,18,9,9,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,80492,77801,804.92,778.01,266.4928080000001,273.13250500000015,54036.8334,,,rnbqkbnr/ppp1pppp/3p4/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 1
db423ca,19,10,10,true,V2_0Engine,V1_6Engine,1/2-1/2,max_plies,200,0.5,100,100,76907,81473,769.07,814.73,277.50947899999994,268.189731,54657.0423,,,rn2kbnr/pp2ppp1/1qp5/3pP1Bp/3P3P/3b4/PPP2PP1/RN1QK1NR w KQkq - 0 1
db423ca,20,10,10,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,84435,83271,844.35,832.71,269.86058,272.661809,54330.5781,,,rn2kbnr/pp2ppp1/1qp5/3pP1Bp/3P3P/3b4/PPP2PP1/RN1QK1NR w KQkq - 0 1
db423ca,21,11,11,true,V2_0Engine,V1_6Engine,1-0,checkmate,109,1,55,54,47781,48235,868.7454545454545,893.2407407407408,272.07829818181824,269.8615037037037,29572.5621,,,r2q1rk1/ppp1bppp/2np1n2/4p3/2B1PPb1/2NP1N2/PPP3PP/R1BQ1RK1 w - - 0 1
db423ca,22,11,11,false,V1_6Engine,V2_0Engine,0-1,checkmate,144,1,72,72,70560,65443,980,908.9305555555555,301.53625416666677,279.3662194444445,41876.1871,,,r2q1rk1/ppp1bppp/2np1n2/4p3/2B1PPb1/2NP1N2/PPP3PP/R1BQ1RK1 w - - 0 1
db423ca,23,12,12,true,V2_0Engine,V1_6Engine,1/2-1/2,max_plies,200,0.5,100,100,72796,61252,727.96,612.52,330.129335,273.60338800000005,60464.0126,,,rnbqk2r/ppppppbp/5np1/8/8/1P2PN2/P1PP1PPP/RNBQKB1R w KQkq - 0 1
db423ca,24,12,12,false,V1_6Engine,V2_0Engine,1/2-1/2,max_plies,200,0.5,100,100,60882,62788,608.82,627.88,281.201185,290.698487,57270.7554,,,rnbqk2r/ppppppbp/5np1/8/8/1P2PN2/P1PP1PPP/RNBQKB1R w KQkq - 0 1
