commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
765feb6,1,1,1,true,V2_2Engine,stockfish-1350,0-1,checkmate,195,0,97,98,1497859,20019221,15441.845360824742,204277.76530612246,104.50697731958759,98.42301224489796,19901.0254,,,rnbqkb1r/pppppp1p/5np1/8/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq - 0 1
765feb6,2,1,1,false,stockfish-1350,V2_2Engine,0-1,checkmate,75,1,37,38,4214307,365428,113900.18918918919,9616.526315789473,95.62819459459459,104.1985447368421,7554.2606,,,rnbqkb1r/pppppp1p/5np1/8/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq - 0 1
765feb6,3,2,2,true,V2_2Engine,stockfish-1350,1/2-1/2,claimable_draw,160,0.5,80,80,1264951,16082280,15811.8875,201028.5,103.76504749999997,100.41270374999998,16414.5303,,,rn1qkb1r/pp3ppp/2p1pn2/3p1b2/3P1B2/2PBPN2/PP3PPP/RN1QK2R b KQkq - 0 1
765feb6,4,2,2,false,stockfish-1350,V2_2Engine,0-1,checkmate,109,1,54,55,5371507,591060,99472.35185185185,10746.545454545454,97.02277407407406,103.26928181818181,10980.3383,,,rn1qkb1r/pp3ppp/2p1pn2/3p1b2/3P1B2/2PBPN2/PP3PPP/RN1QK2R b KQkq - 0 1
765feb6,5,3,3,true,V2_2Engine,stockfish-1350,1-0,checkmate,52,1,26,26,291946,3353214,11228.692307692309,128969.76923076923,103.57934999999999,96.62713076923079,5247.5634,,,rnbqkb1r/pp2pppp/5n2/3p4/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq - 0 1
765feb6,6,3,3,false,stockfish-1350,V2_2Engine,1-0,checkmate,64,0,32,32,2811340,320264,87854.375,10008.25,100.66402812500003,104.19615937499998,6590.6361,,,rnbqkb1r/pp2pppp/5n2/3p4/3P4/2NB4/PPP2PPP/R1BQK1NR b KQkq - 0 1
765feb6,7,4,4,true,V2_2Engine,stockfish-1350,1-0,checkmate,76,1,38,38,539098,5269858,14186.78947368421,138680.47368421053,102.93985526315791,97.6685105263158,7655.2943,,,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq - 0 1
765feb6,8,4,4,false,stockfish-1350,V2_2Engine,0-1,checkmate,123,1,61,62,5825112,708836,95493.6393442623,11432.838709677419,100.57070983606556,104.28959354838712,12678.7087,,,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq - 0 1
765feb6,9,5,5,true,V2_2Engine,stockfish-1350,1-0,checkmate,52,1,26,26,273710,2616812,10527.307692307691,100646.61538461539,103.90233076923076,96.81535384615384,5248.1347,,,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 1
765feb6,10,5,5,false,stockfish-1350,V2_2Engine,1-0,checkmate,52,0,26,26,2438174,318355,93775.92307692308,12244.423076923076,94.2601192307692,104.20674615384614,5196.0902,,,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 1
765feb6,11,6,6,true,V2_2Engine,stockfish-1350,0-1,checkmate,56,0,28,28,366127,2614478,13075.964285714286,93374.21428571429,103.02498928571424,100.37297142857142,5720.3819,,,rnbqkbnr/pp2pppp/3p4/2p5/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 0 1
