commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
765feb6,1,1,1,true,V2_2Engine,V2_0Engine,1/2-1/2,claimable_draw,80,0.5,40,40,458237,463214,11455.925,11580.35,103.55423499999998,104.45069499999997,8365.04,,,rnbqkbnr/ppp2ppp/4p3/8/4p3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 1
765feb6,2,1,1,false,V2_0Engine,V2_2Engine,1/2-1/2,claimable_draw,45,0.5,23,22,282139,268535,12266.91304347826,12206.136363636364,103.36218260869566,102.84382272727272,4656.4255,,,rnbqkbnr/ppp2ppp/4p3/8/4p3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 1
765feb6,3,2,2,true,V2_2Engine,V2_0Engine,1-0,checkmate,47,1,24,23,300246,325411,12510.25,14148.304347826086,103.35488333333333,103.70262173913041,4881.4992,,,r1bqkbnr/pp3ppp/2n5/2ppp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 0 1
765feb6,4,2,2,false,V2_0Engine,V2_2Engine,1/2-1/2,claimable_draw,46,0.5,23,23,286589,269932,12460.391304347826,11736.173913043478,103.15706086956521,102.85774782608695,4753.2849,,,r1bqkbnr/pp3ppp/2n5/2ppp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 0 1
765feb6,5,3,3,true,V2_2Engine,V2_0Engine,1/2-1/2,claimable_draw,32,0.5,16,16,168401,199622,10525.0625,12476.375,103.197125,103.16370625,3313.0594,,,rnbqk2r/ppp1ppbp/6p1/3n4/8/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 0 1
765feb6,6,3,3,false,V2_0Engine,V2_2Engine,1/2-1/2,claimable_draw,60,0.5,30,30,337747,327539,11258.233333333334,10917.966666666667,102.89139999999999,103.54492666666665,6216.3066,,,rnbqk2r/ppp1ppbp/6p1/3n4/8/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 0 1
765feb6,7,4,4,true,V2_2Engine,V2_0Engine,1/2-1/2,claimable_draw,93,0.5,47,46,800914,683669,17040.72340425532,14862.369565217392,102.96329361702128,102.97312391304348,9608.0043,,,r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 1
765feb6,8,4,4,false,V2_0Engine,V2_2Engine,1/2-1/2,claimable_draw,116,0.5,58,58,837361,720746,14437.258620689656,12426.655172413793,103.78929999999998,103.19705517241381,12040.2016,,,r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 1
765feb6,9,5,5,true,V2_2Engine,V2_0Engine,1-0,checkmate,30,1,15,15,173340,225390,11556,15026,103.26824,102.41334666666665,3096.4737,,,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 1
765feb6,10,5,5,false,V2_0Engine,V2_2Engine,1/2-1/2,claimable_draw,73,0.5,36,37,558111,513238,15503.083333333334,13871.297297297297,102.80253611111111,103.01017027027027,7535.9889,,,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 1
