commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
519f5a3,1,1,1,true,V2_5Engine,stockfish-1350,1-0,checkmate,109,1,55,54,643296,5426824,11696.290909090909,100496.74074074074,103.90188909090914,96.91815740740742,11027.7164,,,rn1qkbnr/pp2ppp1/2p3b1/3pP2p/3P2PP/8/PPP2P2/RNBQKBNR w KQkq - 0 1
519f5a3,2,1,1,false,stockfish-1350,V2_5Engine,1-0,checkmate,45,0,23,22,1964410,223467,85409.13043478261,10157.59090909091,100.69020000000002,104.07759999999998,4635.9655,,,rn1qkbnr/pp2ppp1/2p3b1/3pP2p/3P2PP/8/PPP2P2/RNBQKBNR w KQkq - 0 1
519f5a3,3,2,2,true,V2_5Engine,stockfish-1350,1-0,checkmate,122,1,61,61,770344,5979090,12628.590163934427,98017.86885245901,103.85718524590162,98.78690819672128,12435.1924,,,r2qkbnr/ppp1pppp/2n5/3pN3/2PP2b1/8/PP2PPPP/RNBQKB1R b KQkq - 0 1
519f5a3,4,2,2,false,stockfish-1350,V2_5Engine,1/2-1/2,claimable_draw,155,0.5,77,78,11981128,981852,155599.06493506493,12587.846153846154,100.50000389610388,104.26197692307693,15960.3415,,,r2qkbnr/ppp1pppp/2n5/3pN3/2PP2b1/8/PP2PPPP/RNBQKB1R b KQkq - 0 1
519f5a3,5,3,3,true,V2_5Engine,stockfish-1350,1/2-1/2,draw,99,0.5,50,49,485330,5956259,9706.6,121556.30612244898,105.256792,100.52163469387754,10288.3374,,,rnbqk2r/pp1pppbp/5np1/8/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq - 0 1
519f5a3,6,3,3,false,stockfish-1350,V2_5Engine,0-1,checkmate,144,1,72,72,8549133,1026593,118737.95833333333,14258.236111111111,97.67164722222226,104.25273055555552,14608.7606,,,rnbqk2r/pp1pppbp/5np1/8/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq - 0 1
519f5a3,7,4,4,true,V2_5Engine,stockfish-1350,1-0,checkmate,57,1,29,28,279359,3578887,9633.068965517241,127817.39285714286,104.20002413793107,100.2005964285714,5859.3202,,,r1b1k2r/1p1pnppp/p1n2q2/4p3/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 1
519f5a3,8,4,4,false,stockfish-1350,V2_5Engine,0-1,checkmate,40,1,20,20,1633017,198624,81650.85,9931.2,100.41509999999998,103.018415,4089.3416,,,r1b1k2r/1p1pnppp/p1n2q2/4p3/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 1
519f5a3,9,5,5,true,V2_5Engine,stockfish-1350,1-0,checkmate,107,1,54,53,629956,6180635,11665.851851851852,116615.75471698113,104.13624629629633,100.60316603773583,11027.1192,,,r2qkb1r/pp1b1ppp/2n1pn2/1Bpp4/8/1P2PN2/PBPP1PPP/RN1Q1RK1 w kq - 0 1
519f5a3,10,5,5,false,stockfish-1350,V2_5Engine,0-1,checkmate,84,1,42,42,3900257,397043,92863.26190476191,9453.404761904761,100.59261904761902,104.3074952380952,8679.9738,,,r2qkb1r/pp1b1ppp/2n1pn2/1Bpp4/8/1P2PN2/PBPP1PPP/RN1Q1RK1 w kq - 0 1
