commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
acdf45c,1,1,1,true,V2_8Engine,stockfish-1350,1-0,checkmate,59,1,30,29,308708,3328905,10290.266666666666,114789.8275862069,103.28345666666668,94.0688551724138,5880.8351,,,rnbqk2r/p1ppbppp/1p2pn2/6B1/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 1
acdf45c,2,1,1,false,stockfish-1350,V2_8Engine,1/2-1/2,claimable_draw,32,0.5,16,16,1389815,144276,86863.4375,9017.25,100.41995000000001,106.93031250000003,3339.8361,,,rnbqk2r/p1ppbppp/1p2pn2/6B1/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 1
acdf45c,3,2,2,true,V2_8Engine,stockfish-1350,0-1,checkmate,49,0,24,25,238065,1940646,9919.375,77625.84,105.54555416666665,100.77808800000001,5094.3573,,,rnbqkb1r/3ppppp/5n2/1NpP4/1p2P3/8/PP3PPP/R1BQKBNR b KQkq - 0 1
acdf45c,4,2,2,false,stockfish-1350,V2_8Engine,0-1,checkmate,39,1,19,20,2352880,222112,123835.78947368421,11105.6,90.29715263157895,103.50877,3812.8378,,,rnbqkb1r/3ppppp/5n2/1NpP4/1p2P3/8/PP3PPP/R1BQKBNR b KQkq - 0 1
acdf45c,411,206,206,true,V2_8Engine,stockfish-1350,1/2-1/2,claimable_draw,118,0.5,59,59,594365,5673375,10073.983050847457,96158.89830508475,104.82535593220338,100.42744237288136,12183.5111,,,r1bqk1nr/pp1pppbp/2n3p1/2p5/2B1PP2/5N2/PPPP2PP/RNBQK2R w KQkq - 0 1
acdf45c,412,206,206,false,stockfish-1350,V2_8Engine,0-1,checkmate,68,1,34,34,4500605,323940,132370.73529411765,9527.64705882353,94.55472058823531,103.56667647058823,6776.9329,,,r1bqk1nr/pp1pppbp/2n3p1/2p5/2B1PP2/5N2/PPPP2PP/RNBQK2R w KQkq - 0 1
acdf45c,83,42,42,true,V2_8Engine,stockfish-1350,0-1,checkmate,53,0,26,27,318481,2571112,12249.26923076923,95226.37037037036,104.1191923076923,99.47501111111112,5433.993,,,rnbqkb1r/4pppp/p1p2n2/1p1P4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 1
acdf45c,84,42,42,false,stockfish-1350,V2_8Engine,1-0,checkmate,182,0,91,91,19428095,1558851,213495.54945054944,17130.23076923077,96.0113230769231,104.22547692307688,18312.2396,,,rnbqkb1r/4pppp/p1p2n2/1p1P4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 1
acdf45c,329,165,165,true,V2_8Engine,stockfish-1350,1-0,checkmate,44,1,22,22,187349,2500287,8515.863636363636,113649.40909090909,103.71391818181817,96.51587272727272,4449.4456,,,rnbqkbnr/ppp2ppp/8/3PN3/4p3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 1
acdf45c,330,165,165,false,stockfish-1350,V2_8Engine,1/2-1/2,max_plies,200,0.5,100,100,9624245,1173615,96242.45,11736.15,100.49416999999997,104.09783999999999,20596.6111,,,rnbqkbnr/ppp2ppp/8/3PN3/4p3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 1
