commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
66b524e,329,165,165,true,V2_9Engine,stockfish-1350,1-0,checkmate,46,1,23,23,241844,2511268,10514.95652173913,109185.56521739131,103.61558260869568,100.38897391304349,4719.7294,,,r1bqkb1r/pp1p1ppp/2n1pn2/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 0 1
66b524e,330,165,165,false,stockfish-1350,V2_9Engine,0-1,checkmate,57,1,28,29,3097896,297345,110639.14285714286,10253.275862068966,100.26894642857143,103.13953793103448,5821.8333,,,r1bqkb1r/pp1p1ppp/2n1pn2/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 0 1
66b524e,1,1,1,true,V2_9Engine,stockfish-1350,1-0,checkmate,85,1,43,42,465720,3653536,10830.697674418605,86988.95238095238,104.29578604651161,95.82032142857145,8578.4006,,,r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4P3/2N3P1/PPPPNPBP/R1BQK2R w KQkq - 0 1
66b524e,2,1,1,false,stockfish-1350,V2_9Engine,0-1,checkmate,88,1,44,44,4046872,409113,91974.36363636363,9298.022727272728,98.28037045454542,104.25230227272729,8962.2597,,,r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/4P3/2N3P1/PPPPNPBP/R1BQK2R w KQkq - 0 1
66b524e,247,124,124,true,V2_9Engine,stockfish-1350,0-1,checkmate,136,0,68,68,747313,6811220,10989.89705882353,100165,104.2481661764706,100.43701323529413,14021.4757,,,r1bqkbnr/1p1ppppp/p1n5/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 0 1
66b524e,248,124,124,false,stockfish-1350,V2_9Engine,1-0,checkmate,43,0,22,21,2108838,239874,95856.27272727272,11422.57142857143,96.77140909090907,103.01944285714286,4307.8289,,,r1bqkbnr/1p1ppppp/p1n5/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 0 1
66b524e,165,83,83,true,V2_9Engine,stockfish-1350,1/2-1/2,draw,164,0.5,82,82,1159195,10304461,14136.524390243903,125664.15853658537,104.27008048780485,99.42945,16776.7334,,,r1b1kbnr/ppp2ppp/2n5/4P3/8/5N2/PPP2PPP/RNBK1B1R b kq - 0 1
66b524e,166,83,83,false,stockfish-1350,V2_9Engine,0-1,checkmate,61,1,30,31,2896775,354594,96559.16666666667,11438.516129032258,94.11643666666666,104.17998064516131,6088.1547,,,r1b1kbnr/ppp2ppp/2n5/4P3/8/5N2/PPP2PPP/RNBK1B1R b kq - 0 1
66b524e,411,206,206,true,V2_9Engine,stockfish-1350,0-1,checkmate,57,0,28,29,283068,3245255,10109.57142857143,111905.3448275862,104.40467500000003,98.90754137931035,5827.9065,,,r1bq1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b - - 0 1
66b524e,412,206,206,false,stockfish-1350,V2_9Engine,1/2-1/2,max_plies,200,0.5,100,100,21108320,1572609,211083.2,15726.09,99.52651700000004,104.65587199999995,20510.4701,,,r1bq1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b - - 0 1
