commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
5417662,83,42,1,true,V3_0Engine,stockfish-1350,1-0,checkmate,91,1,46,45,539803,5184694,11734.847826086956,115215.42222222222,100.34624782608695,96.1045311111111,8994.4885,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,84,42,1,false,stockfish-1350,V3_0Engine,1-0,checkmate,25,0,13,12,1234595,120327,94968.84615384616,10027.25,100.62674615384616,94.42238333333334,2450.7174,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,329,165,1,true,V3_0Engine,stockfish-1350,1-0,checkmate,43,1,22,21,180385,2385105,8199.318181818182,113576.42857142857,95.23444545454544,90.73024761904762,4054.7298,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,330,165,1,false,stockfish-1350,V3_0Engine,0-1,checkmate,90,1,45,45,4560320,422927,101340.44444444444,9398.377777777778,93.55434888888891,102.88744888888887,8887.9821,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,247,124,1,true,V3_0Engine,stockfish-1350,1-0,checkmate,75,1,38,37,368557,3529880,9698.868421052632,95402.16216216216,99.14778157894739,100.66108918918923,7579.0089,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,248,124,1,false,stockfish-1350,V3_0Engine,0-1,checkmate,88,1,44,44,6299520,412452,143170.9090909091,9373.90909090909,97.57960227272727,97.69220454545454,8636.9616,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,411,206,1,true,V3_0Engine,stockfish-1350,0-1,checkmate,76,0,38,38,432698,3604685,11386.78947368421,94860.13157894737,96.38068421052631,96.71977105263157,7419.6388,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,412,206,1,false,stockfish-1350,V3_0Engine,1-0,checkmate,101,0,51,50,7734941,633923,151665.50980392157,12678.46,98.91336274509803,101.41891799999999,10169.5163,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,165,83,1,true,V3_0Engine,stockfish-1350,0-1,checkmate,100,0,50,50,516807,4931486,10336.14,98629.72,100.08391400000001,99.88493199999998,10098.4514,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
5417662,166,83,1,false,stockfish-1350,V3_0Engine,1-0,checkmate,79,0,40,39,3500496,436095,87512.4,11181.923076923076,100.3402225,100.14383333333332,7963.196,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
