commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v3_10-0609052109,1,1,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,61,1,31,30,194648,2441090,6278.967741935484,81369.66666666667,98.56526451612906,102.21161666666667,6349.292,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,2,1,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,60,1,30,30,1899865,216906,63328.833333333336,7230.2,95.69324999999998,100.24588666666666,5962.8144,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,3,2,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,81,1,41,40,264438,3021560,6449.707317073171,75539,94.71863902439024,99.64219749999998,8038.594,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,4,2,1,false,stockfish-1350,V3_10Engine,1/2-1/2,max_plies,200,0.5,100,100,9084984,749661,90849.84,7496.61,102.571731,107.84371900000004,21415.9566,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,5,3,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,89,1,45,44,265656,2582014,5903.466666666666,58682.13636363636,99.17221333333335,99.10980681818181,9050.7568,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,6,3,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,99,0,50,49,2834509,301728,56690.18,6157.714285714285,104.81684799999996,107.87543469387757,10810.5844,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,7,4,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,115,1,58,57,370078,3413675,6380.6551724137935,59889.0350877193,101.96078448275864,102.29157894736844,12008.8597,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,8,4,1,false,stockfish-1350,V3_10Engine,1/2-1/2,claimable_draw,185,0.5,93,92,9164817,724856,98546.41935483871,7878.869565217391,102.13860860215051,103.66721847826084,19352.3114,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,9,5,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,57,1,29,28,187162,1798420,6453.862068965517,64229.28571428572,98.16846551724134,99.40668928571428,5702.0405,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,10,5,1,false,stockfish-1350,V3_10Engine,1/2-1/2,claimable_draw,88,0.5,44,44,2687233,248659,61073.47727272727,5651.340909090909,101.93095909090908,103.43896818181821,9196.9131,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,11,6,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,67,1,34,33,232134,2918523,6827.470588235294,88440.09090909091,94.1510411764706,99.5366303030303,6601.5033,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,12,6,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,48,1,24,24,1826533,145758,76105.54166666667,6073.25,103.38127916666667,100.69345,4982.6323,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,13,7,1,true,V3_10Engine,stockfish-1350,1/2-1/2,claimable_draw,127,0.5,64,63,419799,5857432,6559.359375,92975.11111111111,102.91229062499997,101.76107460317463,13286.602,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,14,7,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,129,0,65,64,6700253,481695,103080.81538461539,7526.484375,101.41048461538459,104.41803749999998,13572.4247,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,15,8,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,51,1,26,25,147126,1593216,5658.692307692308,63728.64,93.68034615384617,99.40862,5068.1678,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,16,8,1,false,stockfish-1350,V3_10Engine,1/2-1/2,claimable_draw,196,0.5,98,98,8490369,727238,86636.41836734694,7420.7959183673465,102.10634591836734,103.51255918367349,20488.4705,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,17,9,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,75,1,38,37,248147,2452033,6530.184210526316,66271.16216216216,101.0219105263158,99.70589459459458,7680.0462,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,18,9,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,58,1,29,29,1603727,197529,55300.93103448276,6811.3448275862065,98.93148965517241,100.58839310344827,5914.9256,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,19,10,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,49,1,25,24,162379,1233546,6495.16,51397.75,96.669968,97.919225,4877.8635,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,20,10,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,61,0,31,30,2607070,172086,84099.03225806452,5736.2,102.05359032258063,99.96822666666665,6261.7552,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,21,11,1,true,V3_10Engine,stockfish-1350,0-1,checkmate,48,0,24,24,135796,1627887,5658.166666666667,67828.625,97.9969,102.2201875,4902.8353,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,22,11,1,false,stockfish-1350,V3_10Engine,1/2-1/2,claimable_draw,152,0.5,76,76,8776045,686707,115474.27631578948,9035.618421052632,100.50794210526311,105.9367657894737,16043.8639,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,23,12,1,true,V3_10Engine,stockfish-1350,0-1,checkmate,44,0,22,22,107076,1229312,4867.090909090909,55877.818181818184,93.97790909090907,95.82811818181818,4273.1634,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,24,12,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,143,0,72,71,5017109,407331,69682.06944444444,5737.056338028169,102.28994305555555,103.91478450704226,15014.9022,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,25,13,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,65,1,33,32,239893,2808155,7269.484848484848,87754.84375,99.04390909090908,99.229025,6597.6396,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,26,13,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,44,1,22,22,1662265,129041,75557.5,5865.5,102.67707727272727,100.6805090909091,4543.9983,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,27,14,1,true,V3_10Engine,stockfish-1350,0-1,checkmate,108,0,54,54,327083,3329123,6057.092592592592,61650.42592592593,102.61367407407408,101.7668722222222,11209.1754,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,28,14,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,52,1,26,26,2232623,192181,85870.11538461539,7391.576923076923,98.28850769230768,101.38742307692308,5318.7709,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,29,15,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,55,1,28,27,182619,1491417,6522.107142857143,55237.666666666664,98.70042500000002,98.8142888888889,5535.8618,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,30,15,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,49,0,25,24,1318498,165775,52739.92,6907.291666666667,102.6211,105.23176249999999,5187.3637,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,31,16,1,true,V3_10Engine,stockfish-1350,0-1,checkmate,64,0,32,32,164149,1936019,5129.65625,60500.59375,100.32960312499999,101.86125625000001,6620.2009,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,32,16,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,32,1,16,16,1192457,93351,74528.5625,5834.4375,102.514375,91.67506875,3170.5185,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,33,17,1,true,V3_10Engine,stockfish-1350,0-1,checkmate,100,0,50,50,285887,3114149,5717.74,62282.98,100.120978,100.873472,10285.8716,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,34,17,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,159,0,80,79,7059996,591144,88249.95,7482.835443037975,99.89377250000004,104.20149620253163,16587.3999,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,35,18,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,97,1,49,48,341627,3236929,6971.9795918367345,67436.02083333333,102.98222653061225,100.31120833333334,10024.6652,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,36,18,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,46,1,23,23,1925293,191785,83708.39130434782,8338.478260869566,94.17330000000001,105.04878260869567,4641.1398,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,37,19,1,true,V3_10Engine,stockfish-1350,1/2-1/2,claimable_draw,95,0.5,48,47,284804,3393202,5933.416666666667,72195.78723404255,97.81348958333332,102.88987021276597,9722.0142,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,38,19,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,33,0,17,16,1157230,88786,68072.35294117648,5549.125,102.52173529411763,92.95613124999998,3309.1083,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,39,20,1,true,V3_10Engine,stockfish-1350,0-1,checkmate,100,0,50,50,313784,3310560,6275.68,66211.2,99.72437,98.05347200000001,10116.955,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,40,20,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,46,1,23,23,1630224,106697,70879.30434782608,4639,92.78236521739133,90.51707391304346,4340.3151,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,41,21,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,39,1,20,19,114866,1558272,5743.3,82014.31578947368,93.74577500000001,102.19553684210527,3890.9877,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,42,21,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,104,1,52,52,4362921,390480,83902.32692307692,7509.2307692307695,98.14964423076921,101.04854807692308,10526.5753,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,43,22,1,true,V3_10Engine,stockfish-1350,1/2-1/2,max_plies,200,0.5,100,100,745373,9305098,7453.73,93050.98,102.235694,101.78666600000003,20731.5466,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,44,22,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,72,1,36,36,2938368,264558,81621.33333333333,7348.833333333333,99.71146111111112,102.05139999999999,7393.6118,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,45,23,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,39,1,20,19,103644,1018065,5182.2,53582.36842105263,89.494845,101.49224736842108,3778.0495,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,46,23,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,26,1,13,13,682319,85437,52486.07692307692,6572.076923076923,102.46973846153845,96.08793076923077,2628.774,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,47,24,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,59,1,30,29,241992,2413163,8066.4,83212.5172413793,93.8789533333333,96.13839310344828,5717.0293,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,48,24,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,140,1,70,70,5752113,501232,82173.04285714286,7160.457142857143,100.84370999999999,103.34675857142858,14560.259,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,49,25,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,71,1,36,35,253905,2811626,7052.916666666667,80332.17142857143,99.40348888888886,99.40812285714287,7173.7814,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,50,25,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,82,1,41,41,2893726,270250,70578.68292682926,6591.463414634146,102.0341048780488,103.5113024390244,8593.1386,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,51,26,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,65,1,33,32,219829,2519985,6661.484848484848,78749.53125,96.5456181818182,99.42785312500001,6513.912,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,52,26,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,78,1,39,39,2691467,253242,69011.97435897436,6493.384615384615,97.91227179487181,106.31293589743592,8123.4343,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,53,27,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,77,1,39,38,276865,3011184,7099.102564102564,79241.68421052632,99.7930923076923,99.21693421052633,7816.6113,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,54,27,1,false,stockfish-1350,V3_10Engine,0-1,checkmate,36,1,18,18,889835,122274,49435.27777777778,6793,96.83465000000001,93.30408888888891,3463.0606,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,55,28,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,107,1,54,53,378806,3909477,7014.925925925926,73763.71698113208,104.26307037037036,101.24007924528301,11181.4177,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,56,28,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,43,0,22,21,1232754,135890,56034.27272727273,6470.952380952381,102.82780909090911,100.77138095238095,4452.3789,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,57,29,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,59,1,30,29,230853,2049922,7695.1,70686.96551724138,97.47696666666666,98.35268965517243,5873.6791,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,58,29,1,false,stockfish-1350,V3_10Engine,1/2-1/2,draw,84,0.5,42,42,2477506,279637,58988.23809523809,6658.023809523809,102.32909761904763,103.08026904761907,8786.5479,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,59,30,1,true,V3_10Engine,stockfish-1350,1-0,checkmate,183,1,92,91,658161,8390582,7153.923913043478,92204.1978021978,101.17188043478265,100.49296263736262,18801.8054,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_10-0609052109,60,30,1,false,stockfish-1350,V3_10Engine,1-0,checkmate,65,0,33,32,2146918,238300,65058.121212121216,7446.875,97.6360666666667,100.10625937500002,6543.4452,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
