commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v3_11-0609060614,1,1,1,true,V3_11Engine,stockfish-1350,1-0,checkmate,59,1,30,29,274480,3255597,9149.333333333334,112261.96551724138,94.91194000000003,100.99553793103446,5863.6273,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,2,1,1,false,stockfish-1350,V3_11Engine,0-1,checkmate,76,1,38,38,4964775,476530,130651.97368421052,12540.263157894737,95.34937894736841,98.12128947368421,7387.0084,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,3,2,1,true,V3_11Engine,stockfish-1350,1/2-1/2,claimable_draw,185,0.5,93,92,1098516,15309565,11812,166408.3152173913,100.74083978494625,100.2491793478261,18687.0935,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,4,2,1,false,stockfish-1350,V3_11Engine,1-0,checkmate,125,0,63,62,8143810,772221,129266.8253968254,12455.177419354839,97.59692222222222,99.690764516129,12421.2349,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,5,3,1,true,V3_11Engine,stockfish-1350,1-0,checkmate,61,1,31,30,258339,3093504,8333.516129032258,103116.8,89.04828064516128,100.61622000000001,5811.8359,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,6,3,1,false,stockfish-1350,V3_11Engine,0-1,checkmate,90,1,45,45,4958534,507032,110189.64444444445,11267.377777777778,98.54440888888895,100.0762688888889,8982.448,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,7,4,1,true,V3_11Engine,stockfish-1350,1-0,checkmate,67,1,34,33,301366,3305049,8863.70588235294,100153,96.5811823529412,97.34968484848484,6535.7648,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,8,4,1,false,stockfish-1350,V3_11Engine,0-1,checkmate,112,1,56,56,5990086,560232,106965.82142857143,10004.142857142857,97.18518928571427,102.46518928571433,11246.8991,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,9,5,1,true,V3_11Engine,stockfish-1350,1-0,checkmate,71,1,36,35,389755,3059831,10826.527777777777,87423.74285714286,99.20204166666663,95.44933999999999,6946.6412,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,10,5,1,false,stockfish-1350,V3_11Engine,1-0,checkmate,53,0,27,26,2143904,202243,79403.85185185185,7778.576923076923,100.52914074074077,98.75470384615384,5311.5214,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,11,6,1,true,V3_11Engine,stockfish-1350,1-0,checkmate,85,1,43,42,460955,4204074,10719.883720930233,100097,98.07526279069768,94.19105714285713,8216.9374,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,12,6,1,false,stockfish-1350,V3_11Engine,0-1,checkmate,90,1,45,45,4843828,506052,107640.62222222223,11245.6,96.26745999999999,103.09838222222223,9019.339,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,13,7,1,true,V3_11Engine,stockfish-1350,0-1,checkmate,72,0,36,36,346583,3101043,9627.305555555555,86140.08333333333,97.41579999999999,100.38949166666666,7151.2858,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,14,7,1,false,stockfish-1350,V3_11Engine,1-0,checkmate,45,0,23,22,2169408,187993,94322.08695652174,8545.136363636364,100.50403913043476,101.72730909090909,4584.8049,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,15,8,1,true,V3_11Engine,stockfish-1350,1-0,checkmate,49,1,25,24,266527,3007130,10661.08,125297.08333333333,95.073048,96.71155416666667,4723.0314,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,16,8,1,false,stockfish-1350,V3_11Engine,0-1,checkmate,144,1,72,72,7983489,911479,110881.79166666667,12659.430555555555,97.29252777777776,101.54502916666668,14426.8616,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,17,9,1,true,V3_11Engine,stockfish-1350,0-1,checkmate,146,0,73,73,827730,8283527,11338.767123287671,113472.97260273973,99.10693287671234,98.15625205479456,14467.0765,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,18,9,1,false,stockfish-1350,V3_11Engine,0-1,checkmate,100,1,50,50,4084314,484148,81686.28,9682.96,96.92922999999999,100.49641999999997,9944.9319,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_11-0609060614,19,10,1,true,V3_11Engine,stockfish-1350,1-0,checkmate,89,1,45,44,377206,4163881,8382.355555555556,94633.65909090909,96.62217111111109,99.47782272727271,8792.4123,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
