commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v3_13-0609074330,1,1,1,true,V3_13Engine,stockfish-1350,1/2-1/2,claimable_draw,160,0.5,80,80,773110,10928585,9663.875,136607.3125,100.60103625,100.34997750000001,16227.3984,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,2,1,1,false,stockfish-1350,V3_13Engine,0-1,checkmate,60,1,30,30,3080783,321651,102692.76666666666,10721.7,97.07968,96.60768333333331,5841.8897,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,3,2,1,true,V3_13Engine,stockfish-1350,1-0,checkmate,73,1,37,36,325984,4775157,8810.378378378378,132643.25,86.89512972972975,95.59132222222222,6695.1089,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,4,2,1,false,stockfish-1350,V3_13Engine,1/2-1/2,max_plies,200,0.5,100,100,15601295,1127551,156012.95,11275.51,100.45807700000003,102.86654299999996,20456.9355,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,5,3,1,true,V3_13Engine,stockfish-1350,1-0,checkmate,103,1,52,51,657744,7356218,12648.923076923076,144239.568627451,99.90867692307688,98.30179999999999,10273.3258,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,6,3,1,false,stockfish-1350,V3_13Engine,0-1,checkmate,52,1,26,26,3513412,366561,135131.23076923078,14098.5,97.02069230769231,104.1600076923077,5251.754,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,7,4,1,true,V3_13Engine,stockfish-1350,0-1,checkmate,106,0,53,53,637478,6688736,12027.88679245283,126202.56603773584,98.88984905660378,97.29892830188679,10452.8931,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,8,4,1,false,stockfish-1350,V3_13Engine,0-1,checkmate,42,1,21,21,2579470,224744,122831.90476190476,10702.095238095239,100.17214285714286,103.9361238095238,4310.0956,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,9,5,1,true,V3_13Engine,stockfish-1350,1-0,checkmate,57,1,29,28,349210,3667548,12041.724137931034,130983.85714285714,96.42784482758621,96.93966785714285,5540.011,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_13-0609074330,10,5,1,false,stockfish-1350,V3_13Engine,0-1,checkmate,44,1,22,22,2390528,227800,108660.36363636363,10354.545454545454,96.86565454545452,104.70961363636363,4456.8951,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
