commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v3_14-0609081215,1,1,1,true,V3_14Engine,stockfish-1350,1-0,checkmate,65,1,33,32,515676,3967955,15626.545454545454,123998.59375,99.17502727272725,94.63027187499998,6394.3193,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,2,1,1,false,stockfish-1350,V3_14Engine,0-1,checkmate,50,1,25,25,3568157,341408,142726.28,13656.32,93.162344,99.579356,4842.8724,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,3,2,1,true,V3_14Engine,stockfish-1350,1-0,checkmate,71,1,36,35,429297,3514182,11924.916666666666,100405.2,97.45295555555559,95.23023428571429,6883.6782,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,4,2,1,false,stockfish-1350,V3_14Engine,0-1,checkmate,88,1,44,44,4622041,528331,105046.38636363637,12007.522727272728,98.3106409090909,104.08525227272726,8957.5408,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,5,3,1,true,V3_14Engine,stockfish-1350,1-0,checkmate,77,1,39,38,456997,4799035,11717.871794871795,126290.3947368421,92.6767282051282,98.10033157894736,7392.3385,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,6,3,1,false,stockfish-1350,V3_14Engine,1/2-1/2,claimable_draw,94,0.5,47,47,4231967,515471,90041.85106382979,10967.468085106382,100.29143404255316,100.36161276595746,9491.6229,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,7,4,1,true,V3_14Engine,stockfish-1350,1/2-1/2,claimable_draw,81,0.5,41,40,391484,3221239,9548.390243902439,80530.975,93.30697804878048,100.27820000000001,7883.4793,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,8,4,1,false,stockfish-1350,V3_14Engine,0-1,checkmate,64,1,32,32,4285795,455516,133931.09375,14234.875,97.12146874999998,100.36505312499999,6345.5014,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,9,5,1,true,V3_14Engine,stockfish-1350,1-0,checkmate,87,1,44,43,491784,4125990,11176.90909090909,95953.25581395348,96.9442545454546,98.21440930232556,8534.7753,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_14-0609081215,10,5,1,false,stockfish-1350,V3_14Engine,0-1,checkmate,122,1,61,61,7908185,875680,129642.37704918033,14355.409836065573,97.1906934426229,101.72718360655738,12188.461,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
