commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v3_15-0609084031,1,1,1,true,V3_15Engine,stockfish-1350,1/2-1/2,claimable_draw,112,0.5,56,56,659284,6820293,11772.92857142857,121790.94642857143,101.28087857142857,100.6481142857143,11422.6569,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,2,1,1,false,stockfish-1350,V3_15Engine,0-1,checkmate,64,1,32,32,2806691,316815,87709.09375,9900.46875,97.63944062499999,98.68576875000002,6320.7122,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,3,2,1,true,V3_15Engine,stockfish-1350,1/2-1/2,max_plies,200,0.5,100,100,1213185,18027232,12131.85,180272.32,101.871418,100.13952,20274.1235,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,4,2,1,false,stockfish-1350,V3_15Engine,0-1,checkmate,70,1,35,35,4238069,392879,121087.68571428572,11225.114285714286,97.70026000000003,104.23205428571428,7107.9712,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,5,3,1,true,V3_15Engine,stockfish-1350,1-0,checkmate,61,1,31,30,278317,3000409,8977.967741935483,100013.63333333333,96.5320806451613,97.34365,5949.9434,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,6,3,1,false,stockfish-1350,V3_15Engine,0-1,checkmate,88,1,44,44,5962954,490312,135521.68181818182,11143.454545454546,96.12190454545457,99.51608636363639,8647.2304,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,7,4,1,true,V3_15Engine,stockfish-1350,1-0,checkmate,47,1,24,23,250137,3173689,10422.375,137986.47826086957,94.73223333333331,95.90138260869566,4496.2359,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,8,4,1,false,stockfish-1350,V3_15Engine,0-1,checkmate,114,1,57,57,5560856,575703,97558.87719298246,10100.052631578947,97.05028070175437,100.3268263157895,11314.5954,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,9,5,1,true,V3_15Engine,stockfish-1350,1-0,checkmate,71,1,36,35,387633,4129994,10767.583333333334,117999.82857142857,94.31563055555557,95.45619428571428,6775.3129,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,10,5,1,false,stockfish-1350,V3_15Engine,0-1,checkmate,70,1,35,35,3328068,332401,95087.65714285715,9497.171428571428,95.06261714285715,100.88462285714287,6907.1624,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v3_15-0609084031,11,6,1,true,V3_15Engine,stockfish-1350,1-0,checkmate,53,1,27,26,250869,3131685,9291.444444444445,120449.42307692308,100.99046296296294,100.40237307692307,5366.7456,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
