commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
0398feb,83,42,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,40,0,20,20,204808,1774006,10240.4,88700.3,95.53672499999999,92.30931999999999,3813.7003,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,84,42,1,false,stockfish-1350,V3_4Engine,1-0,checkmate,99,0,50,49,4641204,499446,92824.08,10192.775510204081,99.13976199999995,101.41546530612243,9990.7913,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,329,165,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,76,0,38,38,422169,3245452,11109.71052631579,85406.63157894737,99.26162105263157,100.69974473684212,7673.3029,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,330,165,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,76,1,38,38,3871305,347775,101876.44736842105,9151.973684210527,98.11335263157895,101.30256315789472,7625.626,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,1,1,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,130,0,65,65,848648,7233309,13056.123076923077,111281.67692307693,100.99685076923079,98.27465230769232,13092.9142,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,2,1,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,44,1,22,22,1704739,185356,77488.13636363637,8425.272727272728,100.65002727272726,98.81222727272726,4419.5274,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,247,124,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,192,0,96,96,1453895,18315885,15144.739583333334,190790.46875,99.65872499999999,96.51158541666672,18980.1519,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,248,124,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,50,1,25,25,1839994,227926,73599.76,9117.04,96.48027599999999,102.38297999999999,4998.8663,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,411,206,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,60,0,30,30,268172,2289560,8939.066666666668,76318.66666666667,98.78427999999998,100.96384,6063.6362,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,412,206,1,false,stockfish-1350,V3_4Engine,1/2-1/2,max_plies,200,0.5,100,100,15044411,1239055,150444.11,12390.55,99.98063800000003,102.81036600000002,20377.2806,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,85,43,1,true,V3_4Engine,stockfish-1350,1-0,checkmate,57,1,29,28,262961,2792205,9067.620689655172,99721.60714285714,92.03242758620691,97.11192500000003,5427.8511,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,86,43,1,false,stockfish-1350,V3_4Engine,1-0,checkmate,105,0,53,52,5878369,531567,110912.62264150943,10222.442307692309,98.8043603773585,98.22853076923076,10406.5403,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,331,166,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,34,0,17,17,165867,1324233,9756.882352941177,77896.05882352941,90.60554705882353,100.39741764705883,3261.687,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,332,166,1,false,stockfish-1350,V3_4Engine,1/2-1/2,claimable_draw,182,0.5,91,91,15536262,1375270,170728.15384615384,15112.857142857143,100.38671868131873,101.94289780219778,18483.9626,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,165,83,1,true,V3_4Engine,stockfish-1350,1-0,checkmate,183,1,92,91,1262941,9948369,13727.619565217392,109322.73626373627,100.47072173913045,98.628289010989,18334.4895,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,166,83,1,false,stockfish-1350,V3_4Engine,1/2-1/2,max_plies,200,0.5,100,100,14073009,1550564,140730.09,15505.64,99.61422099999999,101.967528,20275.026,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,3,2,1,true,V3_4Engine,stockfish-1350,1-0,checkmate,117,1,59,58,669452,6359318,11346.64406779661,109643.41379310345,100.27861355932203,98.70811034482759,11704.2615,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,4,2,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,114,1,57,57,6279195,690095,110161.31578947368,12106.929824561403,98.70068421052633,101.32800526315788,11458.4324,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,413,207,1,true,V3_4Engine,stockfish-1350,1-0,checkmate,73,1,37,36,337364,3409346,9117.945945945947,94704.05555555556,97.53067297297298,97.62521111111113,7183.4185,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,414,207,1,false,stockfish-1350,V3_4Engine,1-0,checkmate,87,0,44,43,3975162,451441,90344.59090909091,10498.627906976744,96.62864318181819,98.83947906976749,8555.245,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,87,44,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,112,0,56,56,643296,5751340,11487.42857142857,102702.5,98.85824107142852,98.7276642857143,11135.4135,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,88,44,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,44,1,22,22,2344634,201858,106574.27272727272,9175.363636363636,95.90116363636363,93.35625454545453,4183.5407,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,249,125,1,true,V3_4Engine,stockfish-1350,1-0,checkmate,79,1,40,39,422456,5248254,10561.4,134570.61538461538,99.56829999999997,95.84195128205128,7767.3784,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,250,125,1,false,stockfish-1350,V3_4Engine,1-0,checkmate,143,0,72,71,8275005,902402,114930.625,12709.887323943662,97.61204027777775,100.48888591549297,14238.0457,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,333,167,1,true,V3_4Engine,stockfish-1350,1-0,checkmate,49,1,25,24,245650,3268161,9826,136173.375,94.17386,92.93673333333331,4611.5161,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,334,167,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,84,1,42,42,5074813,512502,120828.88095238095,12202.42857142857,95.74470476190474,97.6711119047619,8173.7781,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,167,84,1,true,V3_4Engine,stockfish-1350,0-1,checkmate,130,0,65,65,841646,7666093,12948.4,117939.89230769231,99.9428830769231,99.34818615384617,13029.2279,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,168,84,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,64,1,32,32,4011240,347467,125351.25,10858.34375,94.64517500000002,99.626875,6252.6751,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,5,3,1,true,V3_4Engine,stockfish-1350,1/2-1/2,max_plies,200,0.5,100,100,1215087,14526154,12150.87,145261.54,101.71666900000002,100.43552800000002,20346.2604,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,6,3,1,false,stockfish-1350,V3_4Engine,1-0,checkmate,27,0,14,13,1062113,133073,75865.21428571429,10236.384615384615,100.58119285714285,87.0607076923077,2556.7757,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,335,168,1,true,V3_4Engine,stockfish-1350,1-0,checkmate,87,1,44,43,440165,4154949,10003.75,96626.72093023256,97.86349545454544,98.21690465116278,8578.641,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,336,168,1,false,stockfish-1350,V3_4Engine,0-1,checkmate,56,1,28,28,2914992,246192,104106.85714285714,8792.57142857143,94.47770714285713,92.25847499999999,5259.8247,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0398feb,251,126,1,true,V3_4Engine,stockfish-1350,1/2-1/2,max_plies,200,0.5,100,100,1271834,15089940,12718.34,150899.4,101.285696,100.32676,20247.3344,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
