commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
V4_0-0611064212,1,1,1,true,V4_0Engine,stockfish-1350,1-0,checkmate,57,1,29,28,275142,3584375,9487.655172413793,128013.39285714286,95.4694275862069,97.26363928571425,5582.5252,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,2,1,1,false,stockfish-1350,V4_0Engine,0-1,checkmate,66,1,33,33,3154555,311574,95592.57575757576,9441.636363636364,100.47977575757574,100.77231818181818,6676.1284,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,3,2,1,true,V4_0Engine,stockfish-1350,1-0,checkmate,31,1,16,15,135509,1345575,8469.3125,89705,78.5803375,100.32064666666666,2778.6422,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,4,2,1,false,stockfish-1350,V4_0Engine,1/2-1/2,max_plies,200,0.5,100,100,16331330,1062031,163313.3,10620.31,100.22695199999998,103.74798899999999,20517.7217,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,5,3,1,true,V4_0Engine,stockfish-1350,1/2-1/2,claimable_draw,74,0.5,37,37,297067,3450396,8028.8378378378375,93253.94594594595,95.04535675675675,100.45471891891891,7272.805,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,6,3,1,false,stockfish-1350,V4_0Engine,1-0,checkmate,123,0,62,61,10398915,642840,167724.43548387097,10538.360655737704,98.75589193548387,102.70858032786883,12441.677,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,7,4,1,true,V4_0Engine,stockfish-1350,1-0,checkmate,97,1,49,48,511299,6108056,10434.673469387755,127251.16666666667,99.31288571428571,96.32637083333334,9528.923,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,8,4,1,false,stockfish-1350,V4_0Engine,0-1,checkmate,66,1,33,33,3269683,309020,99081.30303030302,9364.242424242424,100.20534848484851,100.6252121212121,6660.0573,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,9,5,1,true,V4_0Engine,stockfish-1350,1-0,checkmate,73,1,37,36,512271,5100917,13845.162162162162,141692.13888888888,100.83764594594595,94.91321666666667,7178.7396,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
V4_0-0611064212,10,5,1,false,stockfish-1350,V4_0Engine,1/2-1/2,draw,150,0.5,75,75,9169908,730690,122265.44,9742.533333333333,100.4132773333333,103.0699413333333,15371.5673,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
